,Unnamed: 0,tile_count,solar_system_count,total_panel_area,fips,average_household_income,county,education_bachelor,education_college,education_doctoral,education_high_school_graduate,education_less_than_high_school,education_master,education_population,education_professional_school,employed,existing_installs_count,gini_index,heating_fuel_coal_coke,heating_fuel_electricity,heating_fuel_fuel_oil_kerosene,heating_fuel_gas,heating_fuel_housing_unit_count,heating_fuel_none,heating_fuel_other,heating_fuel_solar,kw_median,kw_total,land_area,number_of_panels_median,number_of_panels_total,per_capita_income,population,population_density,poverty_family_below_poverty_level,poverty_family_count,race_asian,race_black_africa,race_indian_alaska,race_islander,race_other,race_two_more,race_white,state,total_area,unemployed,water_area,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,employ_rate,poverty_family_below_poverty_level_rate,heating_fuel_gas_rate,heating_fuel_electricity_rate,heating_fuel_fuel_oil_kerosene_rate,heating_fuel_coal_coke_rate,heating_fuel_solar_rate,heating_fuel_other_rate,heating_fuel_none_rate,area_per_area,area_per_population,tile_count_res,tile_count_nonres,solar_system_count_res,solar_system_count_nonres,total_panel_area_res,total_panel_area_nonres,median_household_income,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,electricity_price_transportation,electricity_price_overall,electricity_consume_residential,electricity_consume_commercial,electricity_consume_industrial,electricity_consume_total,household_count,average_household_size,housing_unit_count,housing_unit_occupied_count,housing_unit_median_value,housing_unit_median_gross_rent,lat,lon,elevation,heating_design_temperature,cooling_design_temperature,earth_temperature_amplitude,frost_days,air_temperature,relative_humidity,daily_solar_radiation,atmospheric_pressure,wind_speed,earth_temperature,heating_degree_days,cooling_degree_days,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,occupation_construction_rate,occupation_public_rate,occupation_information_rate,occupation_finance_rate,occupation_education_rate,occupation_administrative_rate,occupation_manufacturing_rate,occupation_wholesale_rate,occupation_retail_rate,occupation_transportation_rate,occupation_arts_rate,occupation_agriculture_rate,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,transportation_home_rate,transportation_car_alone_rate,transportation_walk_rate,transportation_carpool_rate,transportation_motorcycle_rate,transportation_bicycle_rate,transportation_public_rate,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate,health_insurance_public_rate,health_insurance_none_rate,age_median,travel_time_average,fc,ft,voting_2016_dem_percentage,voting_2016_gop_percentage,voting_2016_dem_win,voting_2012_dem_percentage,voting_2012_gop_percentage,voting_2012_dem_win,edu_score,diversity,system_per_household,log_system_per_household,system_per_household_adj1,log_system_per_household_adj1,system_per_household_adj2,log_system_per_household_adj2,incentive_res,incentive_nonres,incentive_res_state,incentive_nonres_state,net_metering,feedin_tariff,cooperate_tax,property_tax,sales_tax,rebate,avg_retail_rate
0,0,0.0,0.0,0.0,27145011200,70352.78986939999,Stearns County,569,1690,13,1757,336,157,4548,26,3569,,0.349,200,448,98,1720,2527,10,51,0,,,147.7312,,,26999.0,6577,44.52005,85,1911,28,19,16,0,6,88,6420,mn,154.3719,136,6.640769000000001,,,0.0738786279683,0.386323658751,0.371591908531,0.125109938434,0.0345206684257,0.00571679859279,0.00285839929639,0.976128934165,0.00288885510111,0.00243272008515,0.004257260149,0.0,0.000912270031929,0.0133799604683,0.963292847503,0.0444793301936,0.680648990898,0.17728531856,0.038781163434900005,0.0791452314998,0.0,0.0201820340324,0.003957261574989999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64232.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,2527,2.58,2931,2527,192500.0,814.0,45.369,-94.28200000000001,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.0787593127566,0.095028128326,0.00805838528204,0.0463737266231,0.109624448837,0.189600121636,0.0851452029801,0.157670670518,0.0752622776342,0.0451573665805,0.06477117226700001,0.756232686981,1.0,0.113757355001,0.0240963855422,0.0126085738302,0.0448304847296,0.20369851499000002,0.053796581675500006,0.17708041468199998,0.0218548613057,0.117960212945,0.0636032502101,0.0633230596806,0.05968058279630001,0.137836915728,0.776867963153,0.627580149319,0.08834321196730001,0.795371154389,0.0191927744849,0.086367485182,0.0033869602032199995,0.00225797346881,0.00366920688682,0.130340557276,0.21269349845199997,0.213931888545,0.241176470588,0.0888544891641,0.0678018575851,0.249961942457,0.0703303394733,43.9,29.0,27145,11200,0.323795657403,0.602873963411,False,0.429,0.55,False,13.2324098505,0.046960060432900005,0.0,-inf,8.11951932446e-05,-9.41865450904,0.00039572615749900006,-7.83478810739,34,39,11,13,34,0,0,25,12,0,9.46
1,1,25.0,21.0,1133.43646125,27145011301,61727.0852018,Stearns County,674,1434,108,767,222,285,3533,43,4795,2.0,0.4074,20,379,17,1799,2230,0,15,0,9.25,52084.75,16.616789999999998,37.0,208339.0,20951.0,8020,482.6443,189,1359,188,205,23,0,67,132,7405,mn,16.699679999999997,233,0.08288725,10550.8030518,59851196.396000005,0.0628361166148,0.217095952448,0.405887347863,0.19077271440699997,0.08066798754599999,0.0121709595245,0.0305689215964,0.923316708229,0.025561097256900003,0.00286783042394,0.0234413965087,0.0,0.00835411471322,0.016458852867799998,0.9536595067620001,0.139072847682,0.806726457399,0.16995515695099997,0.00762331838565,0.008968609865469998,0.0,0.0067264573991,0.0,17.801218489100002,0.037066664885,17.0,8.0,15.0,6.0,297.274652378,836.161808869,49778.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,2230,2.75,2356,2230,157000.0,733.0,,,,,,,,,,,,,,,,0.37718204488799995,0.108603491272,0.00997506234414,0.0395261845387,0.09588528678300001,0.09152119700750001,0.034039900249400006,0.0609725685786,0.036284289276800004,0.024314214463800003,0.0617206982544,0.609417040359,0.9668674698799999,0.06694473409799999,0.0185610010428,0.011053180396200001,0.0465067778936,0.41063607924900003,0.0346193952033,0.10302398331599999,0.0106360792492,0.103232533889,0.0325338894682,0.0686131386861,0.004796663190819999,0.053480475382,0.683786078098,0.644320297952,0.135402906209,0.5964332893,0.09158960810219999,0.095332452664,0.0,0.0,0.0645090268604,0.23987776929000001,0.43137254901999994,0.175451998981,0.0501655207538,0.0285204991087,0.00840336134454,0.245760598504,0.04389027431419999,21.9,22.0,27145,11301,0.323795657403,0.602873963411,False,0.429,0.55,False,14.1921879423,0.14593447802,0.0067264573991,-5.001706663349999,0.00680765259235,-4.98970791834,0.00717488789238,-4.93716814221,34,39,11,13,34,0,0,25,12,0,9.46
2,2,3.0,3.0,64.5057759453,27145011302,71496.8865827,Stearns County,854,1459,31,1541,289,276,4480,30,3550,,0.3926,69,440,45,2098,2698,29,17,0,,,37.44482,,,28021.0,6971,186.1673,134,1961,0,0,2,0,18,12,6939,mn,39.3305,151,1.8856830000000002,,,0.0645089285714,0.343973214286,0.325669642857,0.190625,0.06160714285709999,0.00669642857143,0.00691964285714,0.995409553866,0.0,0.000286902883374,0.0,0.0,0.00258212595037,0.0017214173002399998,0.9592002161579999,0.06833248342680001,0.7776130467010001,0.163083765752,0.016679021497400002,0.0255744996294,0.0,0.0063009636768,0.010748702742800001,1.6400954970100001,0.00925344655649,3.0,0.0,3.0,0.0,64.5057759453,0.0,63355.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,2698,2.55,2909,2698,182400.0,692.0,45.46,-94.425,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.07990245301969999,0.0938172428633,0.0322765743796,0.0507818103572,0.120068856692,0.151484722421,0.079759001578,0.11447425046599999,0.100272557739,0.0573805766748,0.0657007602926,0.726834692365,0.989604989605,0.050985915493,0.024788732394400003,0.00478873239437,0.0819718309859,0.256338028169,0.0853521126761,0.197183098592,0.0208450704225,0.100845070423,0.04619718309859999,0.0481690140845,0.0307042253521,0.07253351667239999,0.7762117566169999,0.6403897254209999,0.033475177305,0.8419858156029999,0.0348936170213,0.0768794326241,0.00879432624113,0.0,0.0,0.23686527737,0.20692691517499998,0.26210742588799996,0.199295567948,0.0425594364544,0.041385383034900004,0.255263540003,0.037171482503300005,39.6,21.0,27145,11302,0.323795657403,0.602873963411,False,0.429,0.55,False,13.647991071400002,0.00915010710707,0.0011119347664900001,-6.8016537481,0.00119312995974,-6.731175206560001,0.00148257968866,-6.513971675650001,34,39,11,13,34,0,0,25,12,0,9.46
3,3,0.0,0.0,0.0,27145011304,86840.15275499999,Stearns County,640,1116,68,1095,231,270,3456,36,3483,0.0,0.3949,188,442,61,1113,1833,13,16,0,7.5,5809.0,75.21146999999999,30.0,23236.0,29275.0,6328,84.1361,87,1499,171,69,26,0,305,64,5693,mn,81.04071,186,5.829235,8312.88337402,6525523.92987,0.0668402777778,0.316840277778,0.32291666666700003,0.185185185185,0.078125,0.0104166666667,0.019675925925900003,0.899652338812,0.010903919089799999,0.00410872313527,0.0270227560051,0.0,0.048198482933,0.0101137800253,0.9493049877349999,0.0580386924616,0.607201309329,0.24113475177299998,0.0332787779596,0.102564102564,0.0,0.00872885979269,0.00709219858156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71599.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,1833,2.57,2226,1833,251400.0,681.0,45.507,-94.38799999999999,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.28365992414700003,0.0752212389381,0.00568900126422,0.0412452591656,0.0756953223767,0.133533501896,0.0763274336283,0.13843236409600002,0.0414032869785,0.035556257901400004,0.0483565107459,0.817785051828,0.9884853852969999,0.09560723514210001,0.022394487510799997,0.014355440712,0.029859316681,0.300315819696,0.0631639391329,0.144415733563,0.0358886017801,0.0855584266437,0.039333907551000004,0.09560723514210001,0.0358886017801,0.176549865229,0.7452830188680001,0.637733574442,0.13598774885099998,0.677794793262,0.07901990811639999,0.0866768759571,0.00122511485452,0.00183767228178,0.014395099540600002,0.190358029068,0.344913151365,0.251683800071,0.114498404821,0.0602623183268,0.0216235377526,0.18505056890000002,0.050726927939300004,30.9,21.0,27145,11304,0.323795657403,0.602873963411,False,0.429,0.55,False,13.858796296300001,0.187334280568,0.0,-inf,8.11951932446e-05,-9.41865450904,0.000545553737043,-7.51370924784,34,39,11,13,34,0,0,25,12,0,9.46
4,4,5.0,5.0,164.583303207,27145011400,89135.31559730001,Stearns County,654,1314,15,982,163,170,3348,50,2887,2.0,0.4463,96,497,47,1202,1917,31,44,0,10.5,16619.0,44.001509999999996,42.0,66476.0,32770.0,5264,119.6323,73,1473,34,91,0,0,0,122,5017,mn,44.60017,154,0.5986556,12062.097033700002,19140932.8207,0.048685782556800006,0.293309438471,0.39247311828000003,0.19534050179200002,0.050776583034600004,0.0149342891278,0.00448028673835,0.953077507599,0.0172872340426,0.0,0.00645896656535,0.0,0.0,0.023176291793299997,0.949358763565,0.0495587236931,0.627021387585,0.259259259259,0.024517475221700002,0.0500782472613,0.0,0.0229525299948,0.0161711006781,1.36884188274,0.0115977546872,4.0,1.0,4.0,1.0,61.0505806734,103.532722534,68401.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,1917,2.74,2004,1917,208600.0,882.0,45.457,-94.182,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.0906155015198,0.142477203647,0.00550911854103,0.028875379939200002,0.120630699088,0.149506079027,0.0604103343465,0.128609422492,0.049962006079000004,0.0397036474164,0.103723404255,0.768388106416,0.946564885496,0.0682369241427,0.0145479736751,0.011084170419100002,0.0564599930724,0.24073432629,0.125389677866,0.158988569449,0.027710426047799996,0.123311395913,0.058538275026,0.0419120193973,0.0297887080014,0.0434131736527,0.678642714571,0.601470588235,0.0425235273614,0.8438480306730001,0.0167305681422,0.0881840362496,0.0,0.0,0.0024398745207399996,0.119767018566,0.344375682563,0.294503094285,0.09828904259189998,0.046960320349500005,0.0658900618857,0.27270996000799996,0.023424109693400003,34.5,25.0,27145,11400,0.323795657403,0.602873963411,False,0.429,0.55,False,13.8509557945,0.0907655572979,0.0020865936358900002,-6.172222381930001,0.0021677888291300003,-6.13404760368,0.00260824204486,-5.9490788306099995,34,39,11,13,34,0,0,25,12,0,9.46
5,5,0.0,0.0,0.0,27145011500,62225.9036145,Stearns County,522,1395,24,1894,442,142,4448,29,3270,,0.3847,72,759,81,1695,2656,45,4,0,,,148.8705,,,25776.0,6531,43.87035,64,1718,0,83,8,0,156,29,6255,mn,151.8857,92,3.015256,,,0.09937050359710001,0.425809352518,0.313624100719,0.11735611510800001,0.0319244604317,0.00651978417266,0.00539568345324,0.957740009187,0.0127086204257,0.00122492726994,0.0,0.0,0.023886081763900002,0.00444036135354,0.972635336109,0.03725261932480001,0.638177710843,0.28576807228900003,0.0304969879518,0.0271084337349,0.0,0.0015060240963900003,0.0169427710843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53353.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,2656,2.42,2845,2656,158700.0,533.0,45.68,-95.01,376.0,-16.87,25.91,24.58,154.0,5.4,0.6940000000000001,3.76,97.2,4.5,5.9,4820.0,1288.0,0.0676772316644,0.123717654264,0.0499157862502,0.06737099984690001,0.09967845659160002,0.117439902006,0.0659929566682,0.156943806461,0.0519062930638,0.032766804471,0.0782422293676,0.646837349398,0.942857142857,0.0529051987768,0.0134556574924,0.000611620795107,0.0363914373089,0.196941896024,0.0507645259939,0.155657492355,0.039755351682,0.174617737003,0.074006116208,0.085626911315,0.08501529051989999,0.0664323374341,0.628822495606,0.609837898267,0.0571791613723,0.8141677255399999,0.0555908513342,0.0489199491741,0.0012706480305,0.007941550190600001,0.00762388818297,0.436320754717,0.260107816712,0.09905660377360001,0.0670485175202,0.07513477088949999,0.042115902965,0.313148520985,0.09880749574110001,41.3,18.0,27145,11500,0.323795657403,0.602873963411,False,0.429,0.55,False,12.9979766187,0.08198080361160001,0.0,-inf,8.11951932446e-05,-9.41865450904,0.00037650602409599997,-7.8845765106,34,39,11,13,34,0,0,25,12,0,9.46
6,6,2.0,2.0,25.2990133695,27145011600,41068.936170199995,Stearns County,49,278,32,119,35,45,584,26,1942,0.0,0.7166,3,222,5,193,470,16,31,0,21.5,17824.25,0.44818159999999996,86.0,71297.0,12750.0,3504,7818.259,10,67,307,300,69,0,58,273,2497,mn,0.5162760999999999,321,0.06809452,24348.483667,20311681.693,0.05993150684930001,0.203767123288,0.47602739726000004,0.083904109589,0.0770547945205,0.0445205479452,0.0547945205479,0.7126141552509999,0.08561643835619999,0.019691780821900002,0.0876141552511,0.0,0.0165525114155,0.0779109589041,0.858152894388,0.149253731343,0.41063829787199996,0.472340425532,0.0106382978723,0.0063829787234,0.0,0.0659574468085,0.0340425531915,49.002875340299994,0.00722003806206,2.0,0.0,2.0,0.0,25.2990133695,0.0,13333.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,470,1.78,559,470,270800.0,512.0,45.555,-94.15700000000001,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.80450913242,0.05222602739730001,0.0045662100456599995,0.013984018264799999,0.0313926940639,0.0325342465753,0.0102739726027,0.021689497716900003,0.00142694063927,0.0179794520548,0.00884703196347,0.142553191489,0.995920745921,0.0221421215242,0.00360453141092,0.0164778578785,0.00566426364573,0.434088568486,0.0468589083419,0.030381050463400002,0.0,0.179711637487,0.010298661173999999,0.195159629248,0.00875386199794,0.159212880143,0.0554561717352,0.741935483871,0.152409638554,0.48795180722900006,0.206626506024,0.0692771084337,0.0,0.00301204819277,0.0746987951807,0.30987917555100003,0.462686567164,0.0867093105899,0.08813077469789998,0.022032693674499997,0.0262970859986,0.17036592681499999,0.044091181763599996,20.0,15.0,27145,11600,0.323795657403,0.602873963411,False,0.429,0.55,False,14.404109589,0.47044278163500003,0.00425531914894,-5.4595855141400005,0.00433651434218,-5.4406844005299995,0.0063829787234,-5.05412040604,34,39,11,13,34,0,0,25,12,0,9.46
7,7,0.0,0.0,0.0,27145010500,74073.8336714,Stearns County,242,867,10,1118,271,52,2587,27,2210,,0.4317,108,382,190,783,1479,3,13,0,,,105.0557,,,28714.0,3874,36.875690000000006,55,1080,4,1,2,0,5,4,3858,mn,107.9427,56,2.8870709999999997,,,0.10475454194,0.43216080401999996,0.335137224584,0.0935446463085,0.020100502512599996,0.0104367993815,0.00386548125242,0.99586990191,0.000258131130614,0.000516262261229,0.00103252452246,0.0,0.00129065565307,0.00103252452246,0.975286849073,0.050925925925900006,0.529411764706,0.258282623394,0.128465179175,0.07302231237319999,0.0,0.008789722785670001,0.00202839756592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61101.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,1479,2.61,1619,1479,165800.0,728.0,45.68,-94.76799999999999,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.0717604543108,0.125193598348,0.0209086215798,0.061951471347400006,0.103510583376,0.161848218895,0.07589055240060001,0.118482188952,0.078988125968,0.0567888487352,0.0629839958699,0.730223123732,1.0,0.1,0.019909502262400004,0.016742081448,0.037104072398199996,0.17963800905000002,0.0330316742081,0.12714932126700002,0.0357466063348,0.152941176471,0.0533936651584,0.036651583710400004,0.164253393665,0.08647313156269999,0.809141445337,0.5068702290079999,0.11213235294099999,0.7325367647059999,0.07490808823530001,0.0716911764706,0.0018382352941199998,0.0013786764705899998,0.0009191176470589999,0.27380952380999996,0.320910973085,0.135610766046,0.125776397516,0.0879917184265,0.0310559006211,0.256802280384,0.045089401399300004,39.3,21.0,27145,10500,0.323795657403,0.602873963411,False,0.429,0.55,False,12.8747584074,0.0082390073054,0.0,-inf,8.11951932446e-05,-9.41865450904,0.000676132521974,-7.2991214627100005,34,39,11,13,34,0,0,25,12,0,9.46
8,8,0.0,0.0,0.0,27145011100,69412.1924348,Stearns County,527,1665,6,2031,412,112,4771,18,3913,,0.3824,241,534,156,1735,2723,20,37,0,,,165.8064,,,26271.0,7236,43.64127,130,2029,6,25,13,3,22,39,7128,mn,175.5215,147,9.715176,,,0.08635506183189999,0.425696918885,0.34898344162600003,0.110459023266,0.023475162439700003,0.00377279396353,0.0012575979878399997,0.985074626866,0.0034549474848,0.0017965726921,0.000829187396352,0.000414593698176,0.00304035378662,0.00538971807629,0.963793103448,0.0640709709216,0.637164891664,0.196107234668,0.0572897539479,0.0885053250092,0.0,0.013587954461999998,0.007344840249720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60934.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,2723,2.65,3588,2723,182400.0,635.0,45.456,-94.626,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.0764234383637,0.0964621337756,0.0154781647319,0.050580431177400006,0.125207296849,0.15022111663899998,0.0869264787175,0.134466556108,0.08678828081810001,0.0522388059701,0.06412382531790001,0.745134043335,0.951871657754,0.0955788397649,0.0155890621007,0.0117556861743,0.040633784819800005,0.180424226936,0.052389470994100004,0.231535905955,0.0334781497572,0.101201124457,0.0401226680296,0.050856120623599996,0.0991566572962,0.24108138238600002,0.676700111483,0.598846787479,0.07918728835630001,0.812451159156,0.028392810627799997,0.0682469393071,0.00442823651993,0.00182339150821,0.0007814535035169999,0.170862800566,0.247524752475,0.18783592645,0.19349363507800002,0.140028288543,0.0251768033946,0.266574394464,0.0534256055363,40.4,26.0,27145,11100,0.323795657403,0.602873963411,False,0.429,0.55,False,12.980507231199999,0.0295736629178,0.0,-inf,8.11951932446e-05,-9.41865450904,0.000367242012486,-7.90948949267,34,39,11,13,34,0,0,25,12,0,9.46
9,9,11.0,10.0,415.36535028599997,27145010102,82502.4070689,Stearns County,1582,1949,6,1145,320,250,5451,199,4702,5.0,0.3588,18,734,27,2419,3282,29,55,0,8.5,35546.5,7.873874000000001,34.0,142186.0,31691.0,8504,1080.027,16,2327,292,139,0,0,0,103,7970,mn,8.073771,88,0.1998978,9738.07584229,40691219.9876,0.05870482480280001,0.210053201247,0.357549073564,0.290221977619,0.045863144377199995,0.0365070629242,0.00110071546505,0.937206020696,0.0163452492944,0.0,0.0343367826905,0.0,0.0,0.0121119473189,0.981628392484,0.00687580575849,0.7370505789149999,0.223644119439,0.00822669104205,0.0054844606947,0.0,0.0167580743449,0.00883607556368,35.1695884628,0.0333903108435,9.0,2.0,9.0,1.0,283.951203413,131.414146873,71591.0,12.12,9.44,7.02,9.5,9.53,762,6743,182201,189706,3282,2.59,3566,3282,173700.0,1006.0,45.611999999999995,-94.22,358.0,-16.7,25.78,24.07,154.0,5.4,0.695,3.76,97.4,4.4,5.7,4810.0,1278.0,0.0593838193791,0.188146754468,0.00752587017874,0.037746942615199994,0.153104421449,0.106067732832,0.0631467544685,0.0852539981185,0.0931326434619,0.0311618062088,0.08548918156160001,0.7090188909199999,1.0,0.0727350063803,0.0433857932795,0.025308379413,0.0954912803063,0.253509145045,0.0876222883879,0.110803913228,0.009570395576350001,0.11569544874500001,0.07443641003830001,0.05338153977030001,0.00510421097405,0.0796410544027,0.611329220415,0.785779816514,0.049451730810599996,0.838959363578,0.00279509782842,0.09266824338850001,0.0,0.00795527843475,0.00817028596001,0.158109025107,0.517982356933,0.138656412576,0.0628817009726,0.0570006785795,0.0413933499208,0.238341968912,0.0655911446067,32.3,21.0,27145,10102,0.323795657403,0.602873963411,False,0.429,0.55,False,14.2548156302,0.120051993683,0.00274223034735,-5.89898369431,0.00282342554059,-5.86980440051,0.00304692260817,-5.793623178659999,34,39,11,13,34,0,0,25,12,0,9.46
